Rok,Místo,Jméno,Příjmení,Disciplína,Medaile,Věk,Narození,Zakončení her
1998,Nagano,Petr,Svoboda,lední hokej,zlato,"32,04",14. února 1966,22. února 1998
1992,Albertville,Tomáš,Goder,skoky na lyžích – družstva,bronz,"17,48",4. září 1974,23. února 1992
1968,Grenoble,Hana,Mašková,krasobruslení,bronz,"18,41",26. září 1949,18. února 1968
1948,Svatý Mořic,Augustin,Bubník,lední hokej,stříbro,"19,23",21. listopadu 1928,8. února 1948
1964,Innsbruck,Jiří,Holík,lední hokej,bronz,"19,60",9. července 1944,9. února 1964
1984,Sarajevo,Pavel,Ploc,skoky na lyžích,bronz,"19,69",15. června 1964,19. února 1984
1984,Sarajevo,Jozef,Sabovčík,krasobruslení,bronz,"20,22",4. prosince 1963,19. února 1984
1948,Svatý Mořic,Vladimír,Kobranov,lední hokej,stříbro,"20,36",4. října 1927,8. února 1948
2006,Turín,Rostislav,Olesz,lední hokej,bronz,"20,39",10. října 1985,26. února 2006
1984,Sarajevo,Vladimír,Růžička,lední hokej,stříbro,"20,74",6. června 1963,27. února 1984
1992,Albertville,Jiří,Šlégr,lední hokej,bronz,"20,76",30. května 1971,28. února 1992
2014,Soči,Eva,Samková,snowboarding – snowboardcross,zlato,"20,84",28. dubna 1993,23. února 2014
1972,Sapporo,Ondrej,Nepela,krasobruslení,zlato,"21,07",22. ledna 1951,13. února 1972
1992,Albertville,František,Jež,skoky na lyžích – družstva,bronz,"21,20",16. prosince 1970,23. února 1992
1992,Albertville,Robert,Lang,lední hokej,bronz,"21,22",19. prosince 1970,4. března 1992
1964,Innsbruck,Stanislav,Prýl,lední hokej,bronz,"21,23",23. listopadu 1942,9. února 1964
1948,Svatý Mořic,Miloslav,Pokorný,lední hokej,stříbro,"21,36",5. října 1926,8. února 1948
1968,Grenoble,Jiří,Kochta,lední hokej,stříbro,"21,37",11. října 1946,18. února 1968
1964,Innsbruck,Vladimír,Dzurilla,lední hokej,bronz,"21,54",2. srpna 1942,9. února 1964
1968,Grenoble,Josef,Horešovský,lední hokej,stříbro,"21,60",18. července 1946,18. února 1968
1984,Sarajevo,Olga,Charvátová,alpské lyžování - sjezd,bronz,"21,71",11. června 1962,19. února 1984
1968,Grenoble,Oldřich,Machač,lední hokej,stříbro,"21,85",18. dubna 1946,18. února 1968
1988,Calgary,Radim,Nyč,běh na lyžích – štafeta mužů 4 x 10 km,bronz,"21,90",11. dubna 1966,28. února 1988
1984,Sarajevo,Jaroslav,Benák,lední hokej,stříbro,"21,91",3. dubna 1962,24. února 1984
1948,Svatý Mořic,Oldřich,Zábrodský,lední hokej,stříbro,"21,96",28. února 1926,8. února 1948
1998,Nagano,Milan,Hejduk,lední hokej,zlato,"22,04",14. února 1976,22. února 1998
1972,Sapporo,Ivan,Hlinka,lední hokej,bronz,"22,06",26. ledna 1950,13. února 1972
1992,Albertville,Richard,Šmehlík,lední hokej,bronz,"22,12",23. ledna 1970,3. března 1992
1948,Svatý Mořic,Přemysl,Hainý,lední hokej,stříbro,"22,16",18. prosince 1925,8. února 1948
1972,Sapporo,Vladimír,Martinec,lední hokej,bronz,"22,16",22. prosince 1949,13. února 1972
1988,Calgary,Václav,Korunka,běh na lyžích – štafeta mužů 4 x 10 km,bronz,"22,19",24. prosince 1965,28. února 1988
1992,Albertville,Patrik,Augusta,lední hokej,bronz,"22,33",13. listopadu 1969,9. března 1992
1984,Sarajevo,Miloslav,Hořava,lední hokej,stříbro,"22,54",14. srpna 1961,23. února 1984
2006,Turín,Aleš,Hemský,lední hokej,bronz,"22,56",13. srpna 1983,26. února 2006
1992,Albertville,Jaroslav,Sakala,skoky na lyžích – družstva,bronz,"22,63",14. července 1969,23. února 1992
1976,Innsbruck,Milan,Chalupa,lední hokej,stříbro,"22,63",4. července 1953,15. února 1976
1984,Sarajevo,Eduard,Uvíra,lední hokej,stříbro,"22,64",12. července 1961,25. února 1984
2010,Vancouver,Martina,Sáblíková,rychlobruslení – 3000 m,zlato,"22,78",27. května 1987,28. února 2010
2010,Vancouver,Martina,Sáblíková,rychlobruslení – 5000 m,zlato,"22,78",27. května 1987,28. února 2010
2010,Vancouver,Martina,Sáblíková,rychlobruslení – 1500 m,bronz,"22,78",27. května 1987,28. února 2010
1972,Sapporo,Bohuslav,Šťastný,lední hokej,bronz,"22,82",23. dubna 1949,13. února 1972
1972,Sapporo,Helena,Šikolová,běh na lyžích – 5 km,bronz,"22,90",25.3.1949,13. února 1972
2018,Pchjongčchang,Ester,Ledecká,alpské lyžování – superobří slalom,zlato,"22,95",23. března 1995,25. února 2018
1992,Albertville,Petr,Hrbek,lední hokej,bronz,"22,95",3. dubna 1969,11. března 1992
1964,Innsbruck,Jan,Klapáč,lední hokej,bronz,"22,96",27. února 1941,9. února 1964
1992,Albertville,Róbert,Švehla,lední hokej,bronz,"23,17",2. ledna 1969,27. února 1992
1972,Sapporo,Miroslav,Daněk,lední hokej,bronz,"23,19",10. prosince 1948,13. února 1972
1928,Svatý Mořic,Rudolf,Burkert,skoky na lyžích - velký můstek,bronz,"23,32",31. října 1904,19. února 1928
1984,Sarajevo,Igor,Liba,lední hokej,stříbro,"23,34",4. listopadu 1960,3. března 1984
1968,Grenoble,Jan,Suchý,lední hokej,stříbro,"23,37",10. října 1944,18. února 1968
1972,Sapporo,Vladimír,Bednář,lední hokej,bronz,"23,38",1. října 1948,13. února 1972
1980,Lake Placid,Květa,Jeriová,běh na lyžích – 5 km,bronz,"23,39",10. října 1956,24. února 1980
2010,Vancouver,Martin,Jakš,běh na lyžích – štafeta 4×10 km,bronz,"23,50",6. září 1986,28. února 2010
1984,Sarajevo,Dušan,Pašek,lední hokej,stříbro,"23,51",7. září 1960,6. března 1984
1968,Grenoble,Petr,Hejma,lední hokej,stříbro,"23,66",27. června 1944,18. února 1968
